symbol,direction,_tickSize,qty,buyPrice,sellPrice,priceSpread,pnl,commisions,netPNL,runningNetPNL,boughtTimestamp,soldTimestamp,duration
MNQH2,Short,0.25,1,14362.75,14362.75,0,,-1.32,1.32,318.09000000005665,2022-02-14T13:42:28Z,2022-02-14T13:41:08Z,1m19s
MNQH2,Short,0.25,1,14374.75,14364,-10.75,,-1.32,-20.18,297.91000000005664,2022-02-14T13:48:16Z,2022-02-14T13:44:09Z,4m6s
MNQH2,Short,0.25,1,14375,14364,-11,,-1.32,-20.68,277.23000000005663,2022-02-14T13:48:16Z,2022-02-14T13:44:09Z,4m6s
MNQH2,Short,0.25,1,14370.75,14370.75,0,,-1.32,1.32,278.5500000000566,2022-02-14T14:05:59Z,2022-02-14T13:48:58Z,17m0s
MNQH2,Short,0.25,1,14371.25,14370.75,-0.5,,-1.32,0.32000000000000006,278.8700000000566,2022-02-14T14:05:59Z,2022-02-14T13:48:58Z,17m1s
MNQH2,Short,0.25,1,14267.5,14369,101.5,,-1.32,204.32,483.1900000000566,2022-02-14T14:32:15Z,2022-02-14T14:06:12Z,26m3s
MNQH2,Short,0.25,1,14211.5,14369,157.5,,-1.32,316.32,799.5100000000566,2022-02-14T14:52:59Z,2022-02-14T14:06:12Z,46m46s
MNQH2,Long,0.25,1,14129.25,14118,-11.25,,-1.32,-21.18,778.3300000000567,2022-02-14T15:05:00Z,2022-02-14T15:06:39Z,1m39s
MNQH2,Long,0.25,1,14129.25,14118,-11.25,,-1.32,-21.18,757.1500000000567,2022-02-14T15:05:00Z,2022-02-14T15:06:39Z,1m39s
MNQH2,Short,0.25,1,14223,14203,-20,,-1.32,-38.68,718.4700000000568,2022-02-14T15:40:21Z,2022-02-14T15:37:46Z,2m34s
MNQH2,Short,0.25,1,14226.75,14231,4.25,,-1.32,9.82,728.2900000000568,2022-02-14T15:47:11Z,2022-02-14T15:41:40Z,5m30s
MNQH2,Long,0.25,1,14202.25,14257,54.75,,-1.32,110.82,839.1100000000567,2022-02-14T15:49:54Z,2022-02-14T15:51:47Z,1m53s
MNQH2,Long,0.25,1,14260.25,14250.75,-9.5,,-1.32,-17.68,821.4300000000568,2022-02-15T01:05:08Z,2022-02-15T01:06:09Z,1m0s
MNQH2,Long,0.25,1,14237.75,14240.75,3,,-1.32,7.32,828.7500000000568,2022-02-15T01:14:42Z,2022-02-15T01:22:33Z,7m50s
MNQH2,Short,0.25,1,14491.75,14480.25,-11.5,,-1.32,-21.68,807.0700000000569,2022-02-15T10:57:36Z,2022-02-15T10:54:44Z,2m52s
MNQH2,Long,0.25,1,14512,14491.75,-20.25,,-1.32,-39.18,767.890000000057,2022-02-15T10:58:15Z,2022-02-15T10:58:45Z,29s
MNQH2,Long,0.25,1,14512,14491.75,-20.25,,-1.32,-39.18,728.710000000057,2022-02-15T10:58:15Z,2022-02-15T10:58:45Z,29s
MNQH2,Long,0.25,1,14495,14494.75,-0.25,,-1.32,0.8200000000000001,729.530000000057,2022-02-15T10:58:59Z,2022-02-15T11:03:58Z,4m59s
